uri,title
http://data.europa.eu/esco/occupation/57a09d3f-e3d6-49ad-8c88-d879fc4d0870,concrete pump operator
http://data.europa.eu/esco/occupation/7226c10f-701b-4711-8843-140aace12c6f,city councillor
http://data.europa.eu/esco/occupation/725090a7-9943-4dae-8079-a6999d21ddba,client relations manager
http://data.europa.eu/esco/occupation/0f5b4653-50b2-413a-826d-39d447480c21,real estate manager
http://data.europa.eu/esco/occupation/d35f9e79-5778-43b4-8667-0e3ba1fcb19a,shelf filler
http://data.europa.eu/esco/occupation/6066ed14-ace3-4352-b656-2b621fd7bc88,cultural facilities manager
http://data.europa.eu/esco/occupation/260b01cc-7dd6-4584-8863-cae5426819c6,ship planner
http://data.europa.eu/esco/occupation/11a6d0f6-e692-4774-aa5f-193b67d31022,kinesiologist
http://data.europa.eu/esco/occupation/808becc8-5a4e-4e71-a043-c2ea32b56ae3,materials handler
http://data.europa.eu/esco/occupation/afc5a0f4-42e5-4bfb-910c-2b54b44f99c5,property appraiser
http://data.europa.eu/esco/occupation/7e08d38d-30c9-4a6f-b88e-b28e87c0b259,wood boring machine operator
http://data.europa.eu/esco/occupation/d7f3d76b-23e8-447e-93d5-da13ff9bc102,furniture assembler
http://data.europa.eu/esco/occupation/3d7b36e2-bfb8-4b67-9585-6787c1dda13e,coffee taster
http://data.europa.eu/esco/occupation/68ffc53b-6067-4fe7-bd85-c96f4a6c1e45,food biotechnologist
http://data.europa.eu/esco/occupation/183d60f2-277f-47c8-a8c6-f5c8eedba2b0,ammunition assembler
http://data.europa.eu/esco/occupation/24d39e12-e104-49d3-8224-8b7a5f9b99d1,library manager
http://data.europa.eu/esco/occupation/39803100-c338-4f01-ad2c-085d488920ca,forwarding manager
http://data.europa.eu/esco/occupation/50a66df6-c141-4b4a-937a-d3bc55737ae3,debt collector
http://data.europa.eu/esco/occupation/6c3fd65e-2d24-47d8-bc22-9e93512bdcc2,chief executive officer
http://data.europa.eu/esco/occupation/6e591f17-65c1-4a24-af2a-ca7862d4625e,technical sales representative in electronic and telecommunications equipment
http://data.europa.eu/esco/occupation/91d0f74b-8612-49cc-a7da-83ee3c4b94d9,leather goods industrial engineer
http://data.europa.eu/esco/occupation/02eb0ae6-ecdd-4602-9c8e-60ffe6dbe1e2,telecommunications engineer
http://data.europa.eu/esco/occupation/a74f6c51-37e5-423e-aa5b-044e98663027,web content manager
http://data.europa.eu/esco/occupation/dc8ef7da-d2c0-4474-96a0-6d0385eeec1e,webmaster
http://data.europa.eu/esco/occupation/8b6388a4-4904-471b-9331-d3b1211f5525,ICT project manager
http://data.europa.eu/esco/occupation/a47f82d3-4cf7-4abf-bb36-2c8cbad28234,journalist
http://data.europa.eu/esco/occupation/b1ab3572-fa2f-4624-8eac-3c3d986d237b,advertising copywriter
http://data.europa.eu/esco/occupation/78216000-edc1-474b-9569-28ed6a657da2,desktop publisher
http://data.europa.eu/esco/occupation/51ec004e-aec8-4f89-b114-952bcc56b0b0,vlogger
http://data.europa.eu/esco/occupation/586fe133-1987-41f4-b89a-f39d4bc58e1e,eBusiness manager
http://data.europa.eu/esco/occupation/6175b828-026d-4fb4-8be7-418394e1add0,digital printer
http://data.europa.eu/esco/occupation/092fdeeb-a76f-4ed2-b248-90fd6eaaffef,search engine optimisation expert
http://data.europa.eu/esco/occupation/22799921-76a1-44c4-a7c3-c6a548e8ad85,circus artist
http://data.europa.eu/esco/occupation/95a89206-4dc8-4753-a5d9-bc14a0e5f7ca,upholsterer
http://data.europa.eu/esco/occupation/cd3f5356-a16f-4aca-9d4b-ceba2b2afec5,furniture upholsterer
http://data.europa.eu/esco/occupation/bcba793e-44fe-45eb-b0fb-56772529cbab,editorial assistant
http://data.europa.eu/esco/occupation/1185cfe1-49a7-44a7-8dee-45b2f36727f9,environmental education officer
http://data.europa.eu/esco/occupation/fde97584-d8e3-413e-a662-511c9055357e,live chat operator
http://data.europa.eu/esco/occupation/53c7756d-4114-4c7f-90b0-26717f458ac5,pneumatic systems technician
http://data.europa.eu/esco/occupation/555ad9ba-72cf-4bc0-9ea6-c36041462be5,gas transmission system operator
http://data.europa.eu/esco/occupation/7cdeb653-8f3d-4921-832b-b95f9d700a86,electrical transmission system operator
http://data.europa.eu/esco/occupation/02ff199e-38b3-45fd-b659-68846cfeeb92,sprinkler fitter
http://data.europa.eu/esco/occupation/a6a0b60f-08da-4faa-bf54-942987efb471,ICT system analyst
http://data.europa.eu/esco/occupation/9e2e6e1e-363b-4e1b-a673-7bc0f7343300,ICT system administrator
http://data.europa.eu/esco/occupation/ef53663e-c295-43a4-a48e-84254270b138,irrigation system installer
http://data.europa.eu/esco/occupation/3046f16d-1f7d-408f-b9a5-155410fbd2ea,pneumatic engineering technician
http://data.europa.eu/esco/occupation/534d18fe-eae4-4a02-af4d-f78e92faa5d5,irrigation technician
http://data.europa.eu/esco/occupation/1e9e18cb-80b6-4598-acdb-ae3b51047720,aircraft fuel system operator
http://data.europa.eu/esco/occupation/52d5edc9-7902-4cd3-8b06-6bd77c98d440,ICT system tester
http://data.europa.eu/esco/occupation/d26a941d-443a-4301-a648-3cb3a4427775,gas processing plant operator
http://data.europa.eu/esco/occupation/1ab184b6-de00-4476-ba1d-c6a71c668be3,water treatment systems operator
http://data.europa.eu/esco/occupation/9c61bba4-56b7-4846-9f4e-b1f2decf3e7e,security alarm investigator
http://data.europa.eu/esco/occupation/32ac76f6-20a0-469e-8cac-e68634087dd3,picture archiving and communication systems administrator
http://data.europa.eu/esco/occupation/d43e9693-7087-412c-b54c-e9068012630a,wastewater treatment operator
http://data.europa.eu/esco/occupation/75b63949-1b93-4bf2-a777-ccf978dc3e8a,solar energy technician
http://data.europa.eu/esco/occupation/73d77554-2016-46fa-ac3d-44a02e8d1a89,sewer construction worker
http://data.europa.eu/esco/occupation/e9640041-ca34-4955-aa8c-629717d0dcda,tram controller
http://data.europa.eu/esco/occupation/2b318e09-1a5d-4d7f-85a7-fe78945fe917,sewer construction supervisor
http://data.europa.eu/esco/occupation/b3855886-bfee-4fd9-827e-2a0b6b4b4441,mine ventilation engineer
http://data.europa.eu/esco/occupation/9740933e-e04a-41f6-af1f-a6d58c7eb0ec,wastewater engineer
http://data.europa.eu/esco/occupation/026a5233-cad9-4b1d-8852-22c2685ab34e,petroleum pump system operator
http://data.europa.eu/esco/occupation/1ff61522-8947-4c95-b589-cb0e0539a62b,energy systems engineer
http://data.europa.eu/esco/occupation/35553663-deab-4d9a-bf22-15c1625d28e8,ICT intelligent systems designer
http://data.europa.eu/esco/occupation/2cad9c6f-0289-4b26-b247-e65c0089f8f4,boiler operator
http://data.europa.eu/esco/occupation/26e1add0-da3f-4ed6-aa91-791cb550146f,microsystem engineering technician
http://data.europa.eu/esco/occupation/2082e125-d06b-43e6-957f-b7aa3c48dc2f,automated cutting machine operator
http://data.europa.eu/esco/occupation/a241eff8-309b-43ae-8890-ac4cfbd3067c,chemical processing plant controller
http://data.europa.eu/esco/occupation/7f0fe7d3-54c6-41e9-88ba-9d4f0f1a46b4,microsystem engineer
http://data.europa.eu/esco/occupation/74332fd0-4a50-464e-9116-98fa9b8127ac,electrical power distributor
http://data.europa.eu/esco/occupation/9ab0f0db-1128-4050-becd-b09db5eabdaa,file clerk
http://data.europa.eu/esco/occupation/9deee896-be9b-4aac-b55e-ceff1a7a843a,sewerage systems manager
http://data.europa.eu/esco/occupation/6f74ebc4-ab7e-42a8-ad94-921f3d0ef0c6,sewerage network operative
http://data.europa.eu/esco/occupation/40260ee8-c94a-4dc8-a562-f9fbc2fe13b1,sewerage maintenance technician
http://data.europa.eu/esco/occupation/faed411a-f920-4100-86a8-b877928b429c,user experience analyst
http://data.europa.eu/esco/occupation/b01affdd-c8a9-4121-bc50-a5be17f014eb,shiatsu practitioner
http://data.europa.eu/esco/occupation/47dd863b-b124-4bb1-bb42-a9498492a8cb,liquid fuel engineer
http://data.europa.eu/esco/occupation/97b3cab1-f4f0-41ed-8c80-e65e6c067e95,gas service technician
